model_name,N_predict,model_used,initial_evaluation_success_rate,predictive_evaluation_success_rate,brier_score,accuracy,fpr,fnr,tpr,tnr
/model_progression/progressionmodel_2M_80000,200,Measurement_Layout_AAIO,0.345,0.505,0.20903685954204437,0.6950000000000001,0.04,0.265,0.24,0.455
/model_progression/progressionmodel_2M_80000,200,XGBoost,0.345,0.505,0.4567875766100951,0.36,0.255,0.385,0.11,0.25
/model_progression/progressionmodel_2M_80000,200,proportional,0.345,0.505,0.2755750000000007,0.49863,0.17089,0.33048,0.17451999999999998,0.32411
/model_progression/progressionmodel_2M_120000,200,Measurement_Layout_AAIO,0.345,0.495,0.2177999131062322,0.665,0.06,0.275,0.22,0.445
/model_progression/progressionmodel_2M_120000,200,XGBoost,0.345,0.495,0.4584544331291545,0.355,0.26,0.385,0.105,0.25
/model_progression/progressionmodel_2M_120000,200,proportional,0.345,0.495,0.2724750000000007,0.50056,0.17492500000000002,0.324515,0.17048500000000003,0.33007500000000006
/model_progression/progressionmodel_2M_160000,200,Measurement_Layout_AAIO,0.345,0.52,0.24515541649352243,0.62,0.07,0.31,0.21,0.41
/model_progression/progressionmodel_2M_160000,200,XGBoost,0.345,0.52,0.45660556556251325,0.35,0.255,0.395,0.11,0.24
/model_progression/progressionmodel_2M_160000,200,proportional,0.345,0.52,0.28022500000000067,0.49438,0.165515,0.340105,0.179895,0.314485
/model_progression/progressionmodel_2M_200000,200,Measurement_Layout_AAIO,0.345,0.53,0.2321386434777921,0.62,0.065,0.315,0.215,0.405
/model_progression/progressionmodel_2M_200000,200,XGBoost,0.345,0.53,0.46501178468728543,0.355,0.25,0.395,0.115,0.24
/model_progression/progressionmodel_2M_200000,200,proportional,0.345,0.53,0.28332500000000077,0.48963999999999996,0.162885,0.34747500000000003,0.182525,0.307115
/model_progression/progressionmodel_2M_240000,200,Measurement_Layout_AAIO,0.345,0.635,0.24758912758297605,0.615,0.015,0.37,0.265,0.35
/model_progression/progressionmodel_2M_240000,200,XGBoost,0.345,0.635,0.4875047594028365,0.355,0.2,0.445,0.165,0.19
/model_progression/progressionmodel_2M_240000,200,proportional,0.345,0.635,0.3158750000000009,0.45793,0.12624000000000002,0.41583000000000003,0.21917,0.23876
/model_progression/progressionmodel_2M_280000,200,Measurement_Layout_AAIO,0.345,0.505,0.24152486987456545,0.605,0.085,0.31,0.195,0.41
/model_progression/progressionmodel_2M_280000,200,XGBoost,0.345,0.505,0.4692963613323082,0.34,0.265,0.395,0.1,0.24
/model_progression/progressionmodel_2M_280000,200,proportional,0.345,0.505,0.2755750000000007,0.49769,0.17136,0.33094999999999997,0.17405,0.32364
/model_progression/progressionmodel_2M_320000,200,Measurement_Layout_AAIO,0.345,0.595,0.21825412452237916,0.655,0.015,0.33,0.265,0.39
/model_progression/progressionmodel_2M_320000,200,XGBoost,0.345,0.595,0.4738716079057849,0.36,0.22,0.42,0.145,0.215
/model_progression/progressionmodel_2M_320000,200,proportional,0.345,0.595,0.3034750000000009,0.47059,0.13991,0.3895,0.2055,0.26509000000000005
/model_progression/progressionmodel_2M_360000,200,Measurement_Layout_AAIO,0.345,0.5,0.226856350435106,0.62,0.08,0.3,0.2,0.42
/model_progression/progressionmodel_2M_360000,200,XGBoost,0.345,0.5,0.4962264940397654,0.31,0.285,0.405,0.08,0.23
/model_progression/progressionmodel_2M_360000,200,proportional,0.345,0.5,0.2740250000000007,0.49964,0.17288499999999998,0.32747499999999996,0.172525,0.327115
/model_progression/progressionmodel_2M_400000,200,Measurement_Layout_AAIO,0.345,0.525,0.2292331667037754,0.625,0.065,0.31,0.215,0.41
/model_progression/progressionmodel_2M_400000,200,XGBoost,0.345,0.525,0.49482406116125277,0.315,0.275,0.41,0.09,0.225
/model_progression/progressionmodel_2M_400000,200,proportional,0.345,0.525,0.2817750000000007,0.49095,0.16473000000000002,0.34431999999999996,0.18068,0.31027
/model_progression/progressionmodel_2M_440000,200,Measurement_Layout_AAIO,0.345,0.495,0.21669026194824223,0.665,0.06,0.275,0.22,0.445
/model_progression/progressionmodel_2M_440000,200,XGBoost,0.345,0.495,0.46973293586519504,0.34,0.265,0.395,0.1,0.24
/model_progression/progressionmodel_2M_440000,200,proportional,0.345,0.495,0.2724750000000007,0.50155,0.17443,0.32402,0.17098000000000002,0.33057
/model_progression/progressionmodel_2M_480000,200,Measurement_Layout_AAIO,0.345,0.47,0.24139628249140224,0.63,0.09,0.28,0.19,0.44
/model_progression/progressionmodel_2M_480000,200,XGBoost,0.345,0.47,0.4666252476831869,0.345,0.28,0.375,0.085,0.26
/model_progression/progressionmodel_2M_480000,200,proportional,0.345,0.47,0.2647250000000006,0.50857,0.18342,0.30801,0.16199000000000002,0.34658
/model_progression/progressionmodel_2M_520000,200,Measurement_Layout_AAIO,0.345,0.585,0.23090629163293033,0.625,0.035,0.34,0.245,0.38
/model_progression/progressionmodel_2M_520000,200,XGBoost,0.345,0.585,0.5056041835496217,0.315,0.25,0.435,0.115,0.2
/model_progression/progressionmodel_2M_520000,200,proportional,0.345,0.585,0.30037500000000084,0.47445999999999994,0.142975,0.38256500000000004,0.202435,0.27202499999999996
/model_progression/progressionmodel_2M_560000,200,Measurement_Layout_AAIO,0.345,0.565,0.24271897234528717,0.615,0.05,0.335,0.23,0.385
/model_progression/progressionmodel_2M_560000,200,XGBoost,0.345,0.565,0.49729569398918105,0.315,0.25,0.435,0.115,0.2
/model_progression/progressionmodel_2M_560000,200,proportional,0.345,0.565,0.2941750000000008,0.47936,0.15052499999999996,0.370115,0.194885,0.28447500000000003
/model_progression/progressionmodel_2M_600000,200,Measurement_Layout_AAIO,0.345,0.51,0.23399630394496182,0.63,0.07,0.3,0.21,0.42
/model_progression/progressionmodel_2M_600000,200,XGBoost,0.345,0.51,0.48022154448222865,0.34,0.265,0.395,0.1,0.24
/model_progression/progressionmodel_2M_600000,200,proportional,0.345,0.51,0.2771250000000007,0.49615,0.16963,0.33422,0.17578,0.32037
/model_progression/progressionmodel_2M_640000,200,Measurement_Layout_AAIO,0.345,0.47,0.21312669295442122,0.6599999999999999,0.075,0.265,0.205,0.455
/model_progression/progressionmodel_2M_640000,200,XGBoost,0.345,0.47,0.4953215454743588,0.305,0.3,0.395,0.065,0.24
/model_progression/progressionmodel_2M_640000,200,proportional,0.345,0.47,0.26472500000000065,0.5100600000000001,0.18267499999999998,0.307265,0.162735,0.347325
/model_progression/progressionmodel_2M_680000,200,Measurement_Layout_AAIO,0.345,0.52,0.23866531708424232,0.64,0.06,0.3,0.22,0.42
/model_progression/progressionmodel_2M_680000,200,XGBoost,0.345,0.52,0.47754848879867495,0.335,0.26,0.405,0.105,0.23
/model_progression/progressionmodel_2M_680000,200,proportional,0.345,0.52,0.28022500000000067,0.49259,0.16641,0.341,0.179,0.31359000000000004
/model_progression/progressionmodel_2M_720000,200,Measurement_Layout_AAIO,0.345,0.55,0.24222206983641306,0.62,0.055,0.325,0.225,0.395
/model_progression/progressionmodel_2M_720000,200,XGBoost,0.345,0.55,0.47787386916526886,0.345,0.24,0.415,0.125,0.22
/model_progression/progressionmodel_2M_720000,200,proportional,0.345,0.55,0.28952500000000075,0.4847,0.155355,0.359945,0.190055,0.294645
/model_progression/progressionmodel_2M_760000,200,Measurement_Layout_AAIO,0.345,0.595,0.2512570274327358,0.595,0.045,0.36,0.235,0.36
/model_progression/progressionmodel_2M_760000,200,XGBoost,0.345,0.595,0.4717339292449833,0.33,0.24,0.43,0.125,0.205
/model_progression/progressionmodel_2M_760000,200,proportional,0.345,0.595,0.3034750000000008,0.4710599999999999,0.13967500000000002,0.38926499999999997,0.205735,0.26532500000000003
/model_progression/progressionmodel_2M_800000,200,Measurement_Layout_AAIO,0.345,0.49,0.20176078821677768,0.69,0.05,0.26,0.23,0.46
/model_progression/progressionmodel_2M_800000,200,XGBoost,0.345,0.49,0.4540823328901388,0.365,0.26,0.375,0.105,0.26
/model_progression/progressionmodel_2M_800000,200,proportional,0.345,0.49,0.27092500000000064,0.50281,0.1763,0.32089,0.16910999999999998,0.33370000000000005
/model_progression/progressionmodel_2M_840000,200,Measurement_Layout_AAIO,0.345,0.53,0.23351343732788313,0.62,0.065,0.315,0.215,0.405
/model_progression/progressionmodel_2M_840000,200,XGBoost,0.345,0.53,0.4949855397788997,0.3,0.275,0.425,0.09,0.21
/model_progression/progressionmodel_2M_840000,200,proportional,0.345,0.53,0.2833250000000007,0.48916,0.163125,0.34771500000000005,0.18228500000000003,0.306875
/model_progression/progressionmodel_2M_880000,200,Measurement_Layout_AAIO,0.345,0.545,0.23384969734509958,0.635,0.05,0.315,0.23,0.405
/model_progression/progressionmodel_2M_880000,200,XGBoost,0.345,0.545,0.4856149521592488,0.325,0.25,0.425,0.115,0.21
/model_progression/progressionmodel_2M_880000,200,proportional,0.345,0.545,0.28797500000000076,0.48572000000000004,0.15734500000000004,0.356935,0.188065,0.297655
/model_progression/progressionmodel_2M_920000,200,Measurement_Layout_AAIO,0.345,0.535,0.2325723224573358,0.665,0.04,0.295,0.24,0.425
/model_progression/progressionmodel_2M_920000,200,XGBoost,0.345,0.535,0.4864749559862321,0.35,0.24,0.41,0.125,0.225
/model_progression/progressionmodel_2M_920000,200,proportional,0.345,0.535,0.2848750000000007,0.48825,0.16108,0.35067000000000004,0.18433,0.30392
/model_progression/progressionmodel_2M_960000,200,Measurement_Layout_AAIO,0.345,0.575,0.2409239269606432,0.605,0.05,0.345,0.23,0.375
/model_progression/progressionmodel_2M_960000,200,XGBoost,0.345,0.575,0.49898905308848046,0.32,0.245,0.435,0.12,0.2
/model_progression/progressionmodel_2M_960000,200,proportional,0.345,0.575,0.2972750000000008,0.4769,0.146755,0.37634500000000004,0.198655,0.278245
/model_progression/progressionmodel_2M_1000000,200,Measurement_Layout_AAIO,0.345,0.61,0.24611128851230246,0.5700000000000001,0.05,0.38,0.23,0.34
/model_progression/progressionmodel_2M_1000000,200,XGBoost,0.345,0.61,0.4732947217510446,0.34,0.215,0.445,0.15,0.19
/model_progression/progressionmodel_2M_1000000,200,proportional,0.345,0.61,0.30812500000000087,0.46601,0.13470000000000001,0.39929,0.21071,0.25529999999999997
/model_progression/progressionmodel_2M_1040000,200,Measurement_Layout_AAIO,0.345,0.57,0.23535566937476016,0.61,0.05,0.34,0.23,0.38
